type,button,successful,changed,group,unitNumber
click,start,False,True,control,2
click,simulate,False,True,experiment,4
click,stop,False,False,control,2
click,stop,False,False,experiment,4
click,start,False,False,control,2
click,start,False,True,control,1
click,simulate,False,True,experiment,4
click,stop,False,False,experiment,4
click,start,False,True,control,1
click,simulate,False,True,experiment,4
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,False,True,control,2
click,start,True,False,control,1
click,stop,True,False,control,1
click,stop,False,False,experiment,4
click,simulate,False,True,experiment,3
click,start,False,True,control,1
click,simulate,True,True,experiment,4
click,stop,False,False,control,1
click,stop,False,False,experiment,3
click,simulate,True,True,experiment,3
click,start,False,True,control,2
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,True,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,2
click,stop,True,False,experiment,4
click,stop,False,False,control,1
click,start,True,True,control,2
click,stop,True,False,experiment,3
click,start,False,True,control,1
click,stop,False,False,control,1
click,stop,True,False,control,2
click,simulate,False,True,experiment,3
click,start,True,True,control,1
click,start,False,True,control,2
click,simulate,False,True,experiment,4
click,stop,True,False,control,1
click,stop,False,False,control,2
click,stop,False,False,experiment,3
click,start,False,True,control,2
click,start,False,True,control,1
click,simulate,True,True,experiment,3
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,1
click,stop,True,False,experiment,3
click,simulate,True,False,experiment,3
click,stop,True,False,experiment,3
click,stop,False,False,experiment,4
click,simulate,True,False,experiment,3
click,start,False,True,control,1
click,stop,False,False,control,1
click,simulate,True,True,experiment,4
click,stop,True,False,experiment,4
click,simulate,True,False,experiment,4
click,start,False,True,control,1
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,1
click,stop,True,False,experiment,4
click,stop,True,False,experiment,3
click,start,False,True,control,2
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,simulate,False,True,experiment,3
click,stop,True,False,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,simulate,True,True,experiment,4
click,start,True,True,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,stop,True,False,control,1
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,True,True,control,2
click,start,True,True,control,1
click,stop,False,False,experiment,3
click,stop,True,False,experiment,4
click,stop,True,False,control,1
click,start,False,True,control,1
click,simulate,False,True,experiment,3
click,stop,False,False,control,1
click,start,False,False,control,1
click,start,True,False,control,2
click,stop,True,False,control,2
click,stop,False,False,control,1
click,simulate,False,True,experiment,4
click,start,True,True,control,1
click,stop,False,False,experiment,3
click,simulate,True,True,experiment,3
click,stop,True,False,control,1
click,start,False,True,control,2
click,start,False,True,control,1
click,stop,False,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,start,True,True,control,1
click,stop,False,False,experiment,4
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,False,False,control,2
click,stop,True,False,control,1
click,start,True,False,control,1
click,start,False,False,control,2
click,stop,True,False,control,1
click,start,True,True,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,True,False,control,1
click,start,False,True,control,1
click,stop,True,False,experiment,3
click,stop,False,False,control,1
click,simulate,False,False,experiment,4
click,simulate,False,True,experiment,3
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,True,False,control,1
click,stop,False,False,experiment,4
click,start,False,True,control,1
click,stop,False,False,experiment,3
click,stop,False,False,control,1
click,simulate,True,True,experiment,4
click,stop,False,False,control,2
click,start,False,False,control,2
click,start,False,True,control,1
click,simulate,True,True,experiment,3
click,stop,False,False,control,1
click,stop,False,False,control,2
click,start,False,True,control,1
click,stop,True,False,experiment,4
click,stop,False,False,control,1
click,start,False,True,control,1
click,start,False,True,control,2
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,False,control,2
click,start,False,True,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,True,False,experiment,3
click,simulate,True,False,experiment,3
click,stop,True,False,experiment,3
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,False,control,2
click,start,False,True,control,1
click,simulate,False,True,experiment,3
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,True,True,control,1
click,start,False,False,control,2
click,stop,True,False,control,1
click,start,True,True,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,True,False,control,1
click,stop,False,False,control,2
click,start,True,True,control,1
click,start,False,True,control,2
click,stop,True,False,control,1
click,stop,False,False,control,2
click,stop,False,False,experiment,3
click,start,False,True,control,1
click,start,False,False,control,2
click,stop,False,False,control,1
click,stop,False,False,control,2
click,start,False,True,control,1
click,stop,False,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,1
click,start,False,False,control,2
click,start,True,True,control,1
click,stop,False,False,control,2
click,stop,True,False,control,1
click,start,False,False,control,2
click,start,False,True,control,1
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,start,False,False,control,2
click,stop,True,False,control,1
click,stop,False,False,control,2
click,start,True,True,control,1
click,start,False,True,control,2
click,stop,True,False,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,start,False,True,control,1
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,True,True,control,1
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,False,False,control,2
click,start,False,False,control,2
click,stop,True,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,2
click,stop,False,False,control,1
click,start,False,True,control,2
click,start,False,True,control,1
click,stop,False,False,control,1
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,True,False,control,1
click,stop,False,False,control,2
click,stop,True,False,control,1
click,start,False,True,control,1
click,start,False,True,control,2
click,stop,False,False,control,1
click,stop,False,False,control,2
click,start,True,True,control,1
click,stop,True,False,control,1
click,start,False,True,control,1
click,stop,False,False,control,1
click,start,False,False,control,1
click,stop,False,False,control,1
